,Timestamp,Rainfall,Water level,Inc30mup,Inc30mdown ,Inc20mup ,Inc20mdown,Inc10mup,Inc10mdown,1stTensiometer,2ndTensiometer,3rdTensiometer ,4thTensiometer,5thTensiometer
51,03-12-2022 04:00,0,-181.46621,20.992794,27.639774,20.652002,34.417012,21.553593,25.277238,-48.972396,-49.936878,181.68224,-3.110405,-48.737918
52,03-12-2022 05:00,0,-48.840772,28.624356,27.939555,12.788377,32.525258,23.253385,25.68698,-48.999478,-49.93862,181.68778,-3.1083835,-48.759532
53,03-12-2022 06:00,0,51.647553,24.45597,19.68002,10.1714065,21.450339,5.58987,18.603423,-49.028942,-49.940696,181.6944,-3.105652,-48.786706
54,03-12-2022 07:00,0,-144.18749,22.635965,36.103414,21.56195,32.879055,23.284133,25.003112,-48.97989,-49.935946,181.70171,-3.0991895,-48.74242
55,03-12-2022 08:00,0,235.78244,9.7244165,12.357076,15.341146,16.493827,9.562258,20.107085,-48.789652,-49.92226,181.66328,-3.1463565,-48.573194
56,03-12-2022 09:00,0,950.16484,-20.046868,-20.116893,-24.461592,-16.248036,-26.424498,-14.896587,-48.447736,-49.89546,181.60639,-3.1965005,-48.261636
57,03-12-2022 10:00,0,875.91024,-17.388441,-15.719937,-20.850149,-13.672588,-21.630204,-10.833899,-48.112704,-49.863566,181.55055,-3.2493535,-47.952976
58,03-12-2022 11:00,0,720.40686,-2.888865,-5.979346,-14.427283,-7.500269,-15.609498,-8.18741,-47.874118,-49.836376,181.51146,-3.2662815,-47.734658
59,03-12-2022 12:00,0,515.38846,-6.1317925,-4.200519,-13.078846,-6.891646,-12.367042,-1.217543,-47.78015,-49.824932,181.49878,-3.2644425,-47.648456
60,03-12-2022 13:00,0,565.13924,-0.416828,4.267688,-15.435868,-3.6649035,-15.794441,-0.5430315,-47.801542,-49.827872,181.48825,-3.271645,-47.659524
61,03-12-2022 14:00,0,674.77082,-5.797638,-8.4195845,-18.128905,-7.2748985,-16.069118,-7.7356875,-47.907404,-49.84298,181.4916,-3.284302,-47.767078
62,03-12-2022 15:00,0,-127.61186,27.204218,33.128145,24.133625,41.151992,29.952695,35.765338,-48.070132,-49.857786,181.52438,-3.252533,-47.921426
63,03-12-2022 16:00,0,-293.8662,28.328406,32.936182,22.406401,45.202884,30.978854,31.858266,-48.206084,-49.873706,181.54413,-3.2368695,-48.044068
64,03-12-2022 17:00,0,-237.66455,30.594072,32.382812,18.73085,36.897844,22.131273,24.889675,-48.312398,-49.883246,181.55875,-3.2245065,-48.136474
65,03-12-2022 18:00,0,-27.59608,30.992207,34.949724,20.269525,31.285033,19.4352,25.157525,-48.396148,-49.890674,181.58513,-3.1937985,-48.2135
66,03-12-2022 19:00,0,-265.93151,23.959237,36.714362,28.167339,38.71515,28.509708,32.065334,-48.473226,-49.898058,181.5905,-3.19414,-48.28586
67,03-12-2022 20:00,0,-231.36172,25.98459,31.37244,16.036063,37.09484,24.667713,23.827017,-48.551836,-49.904272,181.61171,-3.174086,-48.356264
68,03-12-2022 21:00,0,-162.47176,21.911106,30.279275,14.755223,36.301854,30.465458,28.657103,-48.61402,-49.910904,181.62259,-3.1628765,-48.416978
69,03-12-2022 22:00,0,7.95687,26.695485,20.652664,13.409368,28.390446,16.508433,21.943797,-48.707704,-49.917846,181.64148,-3.148003,-48.497986
70,03-12-2022 23:00,0,-148.644664,25.259443,34.28675,18.946698,38.025236,24.331437,25.51009,-48.818374,-49.92554,181.65632,-3.1389085,-48.59943
71,04-12-2022 00:00,0,-64.077689,24.894393,27.072329,18.828648,28.67484,15.671049,27.92297,-48.904452,-49.931832,181.67979,-3.118294,-48.6774
72,04-12-2022 01:00,0,-149.74098,29.873339,32.732567,20.836759,35.399376,26.200385,27.867406,-48.981994,-49.937718,181.69869,-3.109692,-48.74323
73,04-12-2022 02:00,0,72.950069,23.897847,18.953247,10.724277,22.691371,12.507816,13.707639,-49.039352,-49.941324,181.71261,-3.0937845,-48.79864
74,04-12-2022 03:00,0,-115.28381,25.058328,28.326571,11.030213,36.610352,18.470885,21.36638,-49.073786,-49.944144,181.72005,-3.0915035,-48.826058
75,04-12-2022 04:00,0,45.128855,26.526262,31.588494,21.428748,23.320643,19.15668,26.577141,-49.099816,-49.945688,181.73476,-3.0870245,-48.85534
76,04-12-2022 05:00,0,-170.61513,22.036919,30.601514,17.541778,26.415076,21.968742,26.150953,-49.119168,-49.94734,181.73796,-3.092213,-48.872128
77,04-12-2022 06:00,0,-231.04868,28.367876,30.910701,21.278672,32.672388,20.241349,25.760506,-49.133558,-49.947942,181.75476,-3.070431,-48.887482
78,04-12-2022 07:00,0,-174.47001,31.853371,29.443785,19.648264,32.72574,20.009204,25.216979,-49.085542,-49.94425,181.76364,-3.0621605,-48.842978
79,04-12-2022 08:00,0,188.318312,-10.061365,11.6073,6.0089035,26.189373,-7.690541,2.4925695,-48.890104,-49.931206,181.71555,-3.1242505,-48.667668
80,04-12-2022 09:00,0,949.11212,-21.289574,-20.059426,-23.107488,-18.119263,-24.057373,-14.846431,-48.547894,-49.903428,181.65561,-3.180544,-48.360774
81,04-12-2022 10:00,0,926.4922,-16.988065,-17.784096,-20.627976,-13.684808,-21.007958,-12.740667,-48.194028,-49.871644,181.59392,-3.235302,-48.038932
82,04-12-2022 11:00,0,801.14936,-12.971524,-13.172802,-20.158226,-9.667022,-12.779613,-8.0136585,-47.919174,-49.842548,181.55587,-3.258093,-47.777438
83,04-12-2022 12:00,0,626.71402,-4.1880605,-2.3437025,-6.5188885,-3.9958085,-8.3764285,-6.9875635,-47.825748,-49.832318,181.53457,-3.2765545,-47.701976
84,04-12-2022 13:00,0,715.59272,0.021131,-9.994839,-12.370719,-0.576798,-8.950562,-2.1601015,-47.812642,-49.833004,181.52735,-3.281712,-47.6891
85,04-12-2022 14:00,0,595.69054,-6.7766915,1.7005315,-3.9397475,2.5346255,-8.264469,0.9463275,-47.910226,-49.842464,181.53795,-3.2732625,-47.786444
86,04-12-2022 15:00,0,-322.31263,28.768941,35.806338,26.45791,38.89928,30.713829,31.166056,-48.058426,-49.857844,181.55935,-3.2556155,-47.932136
87,04-12-2022 16:00,0,-289.9313,27.953585,38.929426,20.492011,35.295314,26.13037,26.025427,-48.211456,-49.872898,181.58791,-3.22926,-48.060194
88,04-12-2022 17:00,0,-183.96299,28.291649,28.920651,19.991029,27.725968,21.402318,22.37538,-48.320738,-49.883302,181.60905,-3.2050975,-48.156572
89,04-12-2022 18:00,0,-48.846388,24.200081,36.88223,22.912201,34.940616,20.224021,23.817264,-48.400616,-49.89174,181.61687,-3.2032625,-48.228138
90,04-12-2022 19:00,0,-154.6104315,24.627999,33.869942,29.15986,30.308803,23.706686,30.602781,-48.492178,-49.899834,181.63048,-3.1925505,-48.318928
91,04-12-2022 20:00,0,-207.13125,24.851124,32.209968,20.110394,29.830973,24.711584,29.666339,-48.580054,-49.907682,181.64759,-3.167587,-48.393434
92,04-12-2022 21:00,0,-43.319408,31.950123,31.317318,25.01711,31.908317,25.038575,32.877158,-48.675198,-49.914798,181.67099,-3.1603245,-48.477536
93,04-12-2022 22:00,0,54.826592,28.130217,25.096108,17.945992,26.183328,19.37669,24.112829,-48.760774,-49.921878,181.68745,-3.135733,-48.55773
94,04-12-2022 23:00,0,-284.10442,29.895217,26.820957,21.269531,35.933258,20.495552,31.516778,-48.859002,-49.928822,181.70416,-3.12137,-48.647042
95,05-12-2022 00:00,0,-9.336204,26.216916,31.020042,23.079329,32.150925,23.395106,22.868796,-48.926514,-49.93376,181.73154,-3.106903,-48.710134
96,05-12-2022 01:00,0,-130.08796,23.429844,27.384761,19.171169,29.893584,23.197286,25.814471,-49.009468,-49.939622,181.74257,-3.0875915,-48.781998
97,05-12-2022 02:00,0,-67.358428,20.638078,23.195675,16.28608,27.935381,14.544164,21.665837,-49.072856,-49.943994,181.75167,-3.091656,-48.838786
98,05-12-2022 03:00,0,7.264664,19.066864,24.760733,16.106524,27.308272,18.237768,26.598786,-49.112014,-49.946898,181.77033,-3.0741045,-48.874918
99,05-12-2022 04:00,0,-117.3283,26.381098,32.537169,20.536578,30.85726,24.271115,27.759476,-49.142366,-49.94883,181.78614,-3.0621565,-48.903822
100,05-12-2022 05:00,0,-2.37204,25.908893,30.697176,21.853134,30.137198,22.396966,22.554692,-49.158424,-49.949992,181.78616,-3.068413,-48.922224
101,05-12-2022 06:00,0,-187.34102,29.662715,32.01506,17.377898,31.849484,23.264008,24.527367,-49.158394,-49.94976,181.7966,-3.064232,-48.919646
102,05-12-2022 07:00,0,3.776116,18.403407,19.743761,14.358385,26.147467,15.910862,20.725682,-49.065344,-49.942582,181.79547,-3.057587,-48.837084
103,05-12-2022 08:00,0,36.6905,22.622108,32.135104,9.5093265,21.149293,16.6231035,22.280937,-48.822408,-49.925208,181.73802,-3.1306265,-48.624164
104,05-12-2022 09:00,0,946.30876,-17.493871,-18.003618,-22.781733,-14.858014,-24.637744,-16.465801,-48.545592,-49.903922,181.6899,-3.173681,-48.363784
105,05-12-2022 10:00,0,881.09704,-15.166959,-15.662842,-20.631181,-13.926667,-22.027829,-12.917147,-48.318922,-49.882546,181.65854,-3.1886025,-48.159032
106,05-12-2022 11:00,0,802.65552,-6.486792,-15.560628,-20.37657,-10.8493615,-17.244962,-10.4162045,-48.154284,-49.868344,181.62681,-3.2207875,-48.006228
107,05-12-2022 12:00,0,786.57544,-8.3099165,-6.99351,-16.57894,-4.758755,-9.4690705,-5.41206,-47.976928,-49.848952,181.59882,-3.234074,-47.849038
108,05-12-2022 13:00,0,637.13042,-9.1529905,-5.7549635,-11.864065,-4.2263205,-16.322387,0.3339785,-47.899632,-49.840922,181.58273,-3.251133,-47.774246
109,05-12-2022 14:00,0,641.35978,0.1441245,1.1310545,-14.913326,-1.675984,-10.176946,-2.3059105,-47.931208,-49.844428,181.56741,-3.2614785,-47.814128
110,05-12-2022 15:00,0,-171.28766,28.747199,35.938899,22.102913,40.391372,36.61955,32.994572,-48.059308,-49.857718,181.59262,-3.250605,-47.928392
111,05-12-2022 16:00,0,-205.31245,27.441814,35.1374,18.03214,42.65288,23.111846,32.111932,-48.196576,-49.871644,181.61417,-3.231135,-48.053158
112,05-12-2022 17:00,0,-223.29818,29.148623,26.81578,18.441936,34.468158,30.688747,29.896957,-48.320414,-49.884018,181.63577,-3.207152,-48.166084
113,05-12-2022 18:00,0,-199.74598,27.920469,28.782233,22.639897,40.172572,21.902212,26.426289,-48.410662,-49.892494,181.64846,-3.1920775,-48.249438
114,05-12-2022 19:00,0,-285.98027,29.758012,35.400608,18.208894,43.010266,27.586798,28.494946,-48.49109,-49.90008,181.66224,-3.1878645,-48.318718
115,05-12-2022 20:00,0,-255.00539,27.922131,31.135371,22.040442,38.397776,28.862704,31.276131,-48.596964,-49.90851,181.68292,-3.1641255,-48.415334
116,05-12-2022 21:00,0,-221.28326,24.931554,25.998122,15.375162,25.743313,28.540753,22.708489,-48.69177,-49.917324,181.69649,-3.1504365,-48.501268
117,05-12-2022 22:00,0,-33.557111,22.933372,30.748645,15.911553,29.189883,13.448705,23.055351,-48.776842,-49.923662,181.71251,-3.143263,-48.577766
118,05-12-2022 23:00,0,0.2599485,26.115562,34.59653,14.767832,24.791039,24.677657,18.413723,-48.863788,-49.92966,181.73381,-3.128014,-48.661542
